Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDX32,OUT046,2422.026913
FDX57,OUT049,1644.431243
NCA30,OUT045,2964.770039
FDO49,OUT013,909.873328
FDL04,OUT019,-198.4574113
DRM48,OUT035,722.8960813
FDR16,OUT013,3446.592513
NCC19,OUT018,2789.146287
NCE42,OUT045,3663.578826
FDY24,OUT017,997.46445
FDH19,OUT049,2873.212222
FDJ46,OUT013,2841.026491
FDN45,OUT010,1643.823042
FDY08,OUT035,2320.963346
FDZ37,OUT035,1490.582705
NCT30,OUT045,736.2396484
DRY23,OUT018,443.0486621
NCZ30,OUT018,1684.76991
FDC44,OUT018,1554.713666
FDB45,OUT035,1770.843173
FDY04,OUT013,2682.550204
FDM27,OUT046,2615.228436
FDZ43,OUT017,3896.753928
FDT39,OUT019,510.7116825
NCC06,OUT019,137.2084492
FDL15,OUT027,3908.253375
FDL57,OUT017,4150.069507
FDU08,OUT046,1678.624302
FDK40,OUT017,4252.156967
FDQ12,OUT010,1713.724772
FDS48,OUT017,2495.040781
FDP09,OUT045,3299.371548
FDW21,OUT049,1683.784227
FDY25,OUT035,2960.722428
DRE13,OUT017,1473.465946
FDV43,OUT019,-1170.278498
FDD22,OUT045,1738.077305
FDM46,OUT019,-392.1911094
NCO30,OUT010,1026.87282
FDM25,OUT046,2846.718591
NCN41,OUT049,2054.707498
FDU24,OUT045,1451.100842
FDZ50,OUT046,3002.163657
FDP45,OUT013,4055.802849
NCM54,OUT045,1962.359749
FDW10,OUT019,893.5108718
FDP20,OUT017,2132.962206
FDK32,OUT046,2493.444255
FDN52,OUT049,1507.699463
FDM58,OUT045,1727.184822
FDZ46,OUT027,3243.105472
NCA18,OUT018,1613.803829
FDD35,OUT046,2038.695548
NCK31,OUT035,912.4532903
FDI40,OUT027,3083.032658
FDT50,OUT019,-313.4042256
NCT06,OUT046,2706.874674
FDT31,OUT035,3066.373286
FDT45,OUT049,968.923033
FDT13,OUT045,2910.839801
FDO50,OUT045,1414.819538
NCU18,OUT010,340.472127
NCR54,OUT049,3178.780596
NCO18,OUT018,2564.863843
FDU09,OUT045,875.1001305
FDT13,OUT018,2708.843792
FDE09,OUT046,1888.983041
NCK53,OUT019,-261.6026898
FDG45,OUT049,3461.661485
DRH15,OUT035,843.6159115
FDO21,OUT019,1651.369363
FDD14,OUT027,4385.319222
FDC09,OUT046,1741.318321
FDH45,OUT027,2192.0867
FDV32,OUT046,1154.957302
FDG12,OUT035,1996.149511
FDS32,OUT013,2324.075484
NCL55,OUT018,3699.788966
DRE01,OUT035,3932.543514
DRE15,OUT049,1340.910655
NCL42,OUT045,3842.816185
FDP31,OUT013,1138.864437
FDN33,OUT018,1246.484414
FDZ59,OUT046,2707.898567
FDE45,OUT010,923.2292903
FDJ07,OUT013,1985.337944
FDQ45,OUT018,2661.218746
FDM33,OUT027,4929.215119
FDO15,OUT010,-673.241448
FDM46,OUT013,1582.2694
FDR03,OUT045,3199.904508
FDY49,OUT018,2380.466559
FDQ60,OUT045,1847.864195
FDW10,OUT049,2883.532071
FDO51,OUT049,836.8999179
FDJ40,OUT018,1483.747585
FDS20,OUT018,2626.493511
FDU45,OUT013,1892.546439
FDV02,OUT035,2778.864648
FDN09,OUT046,3912.806335
NCM55,OUT027,4423.688771
FDN23,OUT018,2041.648103
FDY31,OUT010,407.261719
FDW03,OUT010,-193.5551807
FDD14,OUT046,2996.963274
FDV23,OUT017,2098.769147
DRI03,OUT045,2733.15851
FDN13,OUT035,1688.452434
FDF45,OUT027,2449.006135
FDU46,OUT035,1503.563432
FDB57,OUT049,3603.061472
FDV12,OUT049,1693.161099
FDQ58,OUT013,2494.468148
NCA18,OUT017,1946.968395
FDH52,OUT049,1096.891032
FDM24,OUT018,2127.110522
NCP43,OUT027,4337.694176
NCO18,OUT019,911.1193482
FDM32,OUT017,1561.589243
NCL07,OUT017,733.2159307
FDK03,OUT013,4083.239457
FDP59,OUT017,1734.029694
FDQ24,OUT049,4043.354297
FDQ16,OUT018,1496.196137
FDU44,OUT013,2642.624586
FDH28,OUT010,-1249.814793
FDV28,OUT019,-1280.024929
FDM22,OUT045,837.2627576
FDR56,OUT046,3193.80911
FDV39,OUT049,3205.725486
FDU37,OUT019,-582.280494
FDQ11,OUT010,2140.053435
FDX02,OUT045,3477.544557
NCS42,OUT018,1232.028533
FDY57,OUT027,2991.83768
FDB21,OUT049,3906.622517
FDE28,OUT017,3719.604813
FDQ55,OUT017,1905.486709
FDA48,OUT049,3606.705785
FDZ19,OUT045,2712.437896
NCC43,OUT045,3926.722536
NCV18,OUT046,1417.528379
NCA42,OUT018,2265.971004
FDY45,OUT046,4131.477595
NCC30,OUT045,2781.888366
FDM57,OUT013,1471.458617
FDL09,OUT010,743.9919306
FDB09,OUT027,3460.671923
FDT44,OUT035,1992.053937
NCT06,OUT027,4075.001725
FDX26,OUT049,2995.447663
FDK32,OUT013,2524.565634
DRA12,OUT046,2366.581064
FDO46,OUT010,1072.409622
FDE52,OUT013,1491.074422
NCH42,OUT045,3581.188086
FDV08,OUT035,796.9743004
FDB47,OUT018,3068.915038
FDC28,OUT010,-131.3933377
FDD22,OUT046,1912.815794
FDS07,OUT027,3312.023767
DRI13,OUT045,3375.005836
FDG32,OUT018,3260.560492
FDU14,OUT017,4037.170479
FDD28,OUT019,-920.0345989
NCP41,OUT017,1847.541813
FDS08,OUT049,2866.415312
FDX47,OUT045,2450.358537
FDC53,OUT019,-271.962997
FDQ19,OUT035,3895.197859
FDL14,OUT045,2409.409026
FDM33,OUT019,1606.856455
FDA51,OUT045,1761.377882
FDZ27,OUT018,547.6756271
FDT04,OUT046,785.0983821
DRC13,OUT049,2084.272808
FDR16,OUT027,4859.845565
FDQ03,OUT027,5194.447074
FDE38,OUT035,2753.556742
DRH23,OUT027,2406.541013
FDT11,OUT019,1086.752852
FDD09,OUT035,2938.937462
FDR40,OUT045,1274.483903
FDX07,OUT017,2998.027625
FDR07,OUT035,1652.252046
FDA51,OUT017,1920.555681
FDT59,OUT019,1748.256441
FDF20,OUT017,3178.24842
FDR13,OUT045,1786.234527
FDY26,OUT049,3413.955523
FDW04,OUT017,2162.978777
FDK52,OUT017,3673.535835
FDN60,OUT049,2588.243088
FDM09,OUT019,824.1413174
FDP46,OUT049,1510.238968
FDB50,OUT019,-602.4689327
NCQ29,OUT049,4170.257945
FDP16,OUT027,5336.911412
FDX33,OUT018,2298.607995
FDP07,OUT010,1189.485138
FDN22,OUT046,4051.134642
FDF39,OUT049,4214.811312
FDS21,OUT017,1087.554619
NCM42,OUT013,1810.687875
FDK50,OUT019,709.1540453
DRF13,OUT027,3805.182479
FDH35,OUT018,2342.09701
FDP60,OUT018,1339.195003
DRJ49,OUT027,3544.086556
NCT42,OUT019,473.4064852
FDE38,OUT049,2752.000674
FDI04,OUT049,3233.734728
NCH54,OUT045,2456.010179
FDT56,OUT049,1059.626293
DRD15,OUT018,3406.628685
FDV58,OUT013,3159.083875
FDP21,OUT049,3053.924735
FDH05,OUT013,3765.222531
FDR10,OUT027,4032.536603
NCP06,OUT045,2324.438324
FDF33,OUT049,1799.303675
DRK37,OUT013,3073.621455
DRH49,OUT045,1310.233031
FDT58,OUT013,2748.848078
FDD41,OUT018,1414.337573
FDP40,OUT018,1508.072055
FDM51,OUT027,3100.641135
FDO45,OUT010,-507.0252734
FDW33,OUT010,-193.5956385
FDY24,OUT045,841.3987889
FDB10,OUT010,1845.337085
FDM40,OUT035,2347.908236
NCI06,OUT017,2957.118572
FDW12,OUT019,398.7960905
FDX48,OUT027,3928.441814
NCW05,OUT027,3185.079661
FDX27,OUT017,1623.218911
DRM37,OUT045,3084.425518
FDA38,OUT045,3757.845483
FDR36,OUT046,765.8529211
FDZ45,OUT046,3236.31469
FDG05,OUT017,2608.512442
FDK28,OUT013,4166.162372
FDV47,OUT045,1333.533608
FDN21,OUT045,2496.95969
FDP20,OUT027,3497.97712
FDI35,OUT045,2827.465626
DRY23,OUT013,816.6710214
FDA56,OUT017,2052.659711
FDB09,OUT013,2059.867423
NCO26,OUT027,3344.660757
FDQ49,OUT018,2227.109738
FDI52,OUT027,3423.366725
FDZ44,OUT027,3346.708544
FDZ09,OUT018,2348.853462
FDY03,OUT049,1902.947204
NCG42,OUT017,2164.534846
DRI13,OUT027,4911.647101
FDQ32,OUT013,2097.745253
FDW16,OUT035,1558.436648
FDU27,OUT046,874.6563752
FDR28,OUT010,682.3622632
FDQ49,OUT010,609.8805709
FDS37,OUT046,1950.080533
FDW26,OUT018,3221.658768
FDX12,OUT018,3542.868747
NCP06,OUT013,2488.28433
FDW45,OUT010,408.817788
NCN30,OUT049,1613.842039
FDN24,OUT049,968.923033
NCL41,OUT027,2029.353008
FDR02,OUT019,-131.1356436
FDD09,OUT010,963.6466255
FDS33,OUT010,-504.4453111
FDU22,OUT045,1860.353204
FDI53,OUT013,2671.698179
DRH01,OUT049,2877.880428
FDX32,OUT013,2367.5645
NCP30,OUT018,409.9199539
FDB60,OUT045,3047.652496
FDB14,OUT049,1596.274021
NCP02,OUT035,1046.11339
FDJ10,OUT017,2327.187622
FDG34,OUT046,1862.570327
NCB18,OUT017,1509.74725
FDM16,OUT049,1297.8729
FDW25,OUT018,1099.884045
FDB35,OUT010,-430.8588098
DRN11,OUT013,2371.700531
FDF41,OUT019,2028.025193
FDH16,OUT045,1371.290065
NCQ50,OUT018,3097.867257
DRH23,OUT018,680.3522912
DRJ37,OUT013,2506.424982
DRJ24,OUT027,4394.123461
FDY16,OUT035,2996.963274
FDQ27,OUT045,1636.07076
FDZ33,OUT045,2311.538512
FDF29,OUT045,2042.702702
FDA08,OUT049,2681.485852
FDG31,OUT046,1157.005089
FDE34,OUT019,1018.407191
NCR30,OUT027,2666.532127
FDV33,OUT035,4159.405921
DRZ24,OUT018,1661.961051
NCL54,OUT035,2842.58256
FDR12,OUT049,2832.794886
NCC54,OUT046,3907.154693
DRN59,OUT013,857.0478988
FDX50,OUT019,-118.1549163
FDV31,OUT027,4295.229054
NCA29,OUT027,4207.67839
FDW60,OUT049,2894.424554
FDX08,OUT017,2981.4835
DRD49,OUT013,3822.143533
FDD33,OUT046,3741.349321
FDW35,OUT013,800.0864383
FDJ36,OUT017,1744.430459
FDV51,OUT035,2731.771777
FDW36,OUT046,1799.344133
FDH35,OUT046,2714.163301
NCS30,OUT027,3556.535107
FDN49,OUT017,737.8841376
FDL08,OUT018,3619.035211
FDI09,OUT013,3878.653734
FDP19,OUT018,1805.449283
FDU21,OUT010,-1336.87374
NCP41,OUT045,1674.359393
FDY10,OUT013,1895.126402
FDP12,OUT018,355.5384557
NCN26,OUT049,1949.016182
FDK44,OUT013,2857.651532
FDC28,OUT049,1840.785361
FDJ41,OUT027,5615.124094
NCT29,OUT035,2065.108263
NCH42,OUT019,1719.223307
FDU60,OUT018,2391.278126
FDS02,OUT045,3005.106459
FDC51,OUT046,2057.819636
FDU03,OUT013,2984.55518
FDX39,OUT045,3294.211623
NCY05,OUT010,-1280.363539
NCL06,OUT027,5563.773819
FDD32,OUT035,1388.003526
NCN41,OUT045,1909.53432
NCX53,OUT049,2344.796099
FDU57,OUT019,497.2392374
FDQ23,OUT046,1761.547217
FDQ52,OUT045,3874.388824
FDC14,OUT045,623.7918808
FDY09,OUT035,2893.932836
FDQ28,OUT045,2433.814411
FDV25,OUT046,3582.340857
FDJ07,OUT035,1951.104426
DRB25,OUT049,1793.611575
FDK52,OUT019,1672.622153
FDY52,OUT027,2501.339846
FDB28,OUT046,3221.286176
FDT36,OUT035,704.2637116
FDV25,OUT017,3599.457616
NCN07,OUT027,3548.182129
FDC57,OUT017,3150.320095
FDQ03,OUT018,3474.482629
FDU23,OUT017,2743.196435
NCX41,OUT035,3451.301178
NCD06,OUT035,869.4964505
FDW08,OUT045,1659.863055
NCU29,OUT017,2400.20149
NCE06,OUT013,2647.824969
FDV52,OUT010,-15.91434778
FDB02,OUT017,2891.312416
NCR18,OUT045,666.8296362
FDK16,OUT049,1611.794253
NCQ29,OUT010,2174.738212
FDZ01,OUT019,-224.3379503
FDW27,OUT035,2586.235759
FDD17,OUT018,3492.623281
FDW39,OUT013,2891.312416
DRH59,OUT045,1129.399145
FDS52,OUT013,1725.265914
FDU40,OUT027,4556.816695
NCF54,OUT013,2844.711262
FDH46,OUT045,1599.257281
NCP14,OUT049,1755.282484
FDH50,OUT049,3024.972515
DRF15,OUT010,537.8501386
FDV27,OUT027,2879.430371
NCJ06,OUT049,2012.774552
FDN02,OUT018,2988.03991
FDQ51,OUT049,858.0717922
FDQ07,OUT017,3608.79403
FDS45,OUT049,1779.115236
NCJ06,OUT045,1884.718132
FDD36,OUT035,1966.624658
FDY25,OUT045,2840.446353
FDU52,OUT046,2554.050029
DRK47,OUT017,3676.07534
NCL30,OUT017,2141.234269
FDN22,OUT035,4062.027125
NCF30,OUT027,3482.948606
FDK03,OUT035,4129.921526
FDT45,OUT017,1000.044412
NCC54,OUT027,5247.272503
FDP08,OUT018,2830.627974
FDU44,OUT046,2683.082379
DRG39,OUT035,964.2952839
FDU32,OUT049,2040.21116
FDY27,OUT049,2920.837268
NCP54,OUT013,2057.819636
NCZ41,OUT049,2110.685523
DRL49,OUT013,2375.385302
FDI05,OUT018,980.2690233
FDY56,OUT045,3523.69445
DRC13,OUT013,2087.384946
NCV29,OUT017,2936.930133
FDR24,OUT049,1527.355726
FDZ34,OUT018,2768.917391
FDP37,OUT035,2111.136783
FDX08,OUT027,4334.049862
FDS57,OUT045,2200.114638
NCG18,OUT049,1736.650114
FDK25,OUT018,2419.819543
FDH53,OUT049,1402.499865
DRI59,OUT018,3261.05221
FDA52,OUT046,2900.648829
FDT20,OUT010,-1255.015176
FDE36,OUT019,695.1089668
FDI24,OUT017,2861.747105
FDB28,OUT018,2891.233748
FDV11,OUT017,2895.488905
FDP01,OUT046,2541.682392
FDD34,OUT027,4035.116566
FDJ50,OUT027,2329.310198
FDZ44,OUT013,1987.917906
DRO59,OUT035,1322.237828
DRB48,OUT045,608.8038245
FDR21,OUT018,2519.246125
NCE42,OUT010,1802.339788
FDO23,OUT046,1596.765738
NCE30,OUT018,3095.819471
FDQ22,OUT035,729.0798994
FDY01,OUT045,1794.547048
FDS08,OUT017,2909.985243
FDG28,OUT018,3629.927694
FDQ51,OUT018,540.4679157
FDB05,OUT017,4024.762385
FDO56,OUT049,1956.796527
FDE02,OUT018,1222.119486
FDN45,OUT017,3616.001741
FDS09,OUT013,905.2051211
NCA54,OUT018,2614.085417
FDP09,OUT010,1459.917476
FDC53,OUT045,1540.207576
NCM55,OUT017,3046.225305
FDL09,OUT018,2421.907787
FDA11,OUT019,-383.9190468
FDA50,OUT045,1470.22493
FDC23,OUT017,2927.59372
FDE22,OUT049,2615.187978
FDD23,OUT046,3050.853054
NCA29,OUT049,2830.214924
FDK38,OUT046,2431.282412
DRC13,OUT046,2036.034671
NCP43,OUT049,2930.6654
FDX28,OUT049,1694.184992
FDF08,OUT049,1541.400805
FDZ33,OUT046,2469.160242
FDD10,OUT049,2922.393337
FDO58,OUT017,2670.59337
FDI50,OUT017,3723.781302
FDO58,OUT045,2578.326536
FDX08,OUT013,2959.698535
NCK17,OUT010,-1215.621734
FDF39,OUT035,4221.035588
FDU45,OUT010,-107.641501
NCJ18,OUT018,1621.01154
DRC27,OUT019,1997.435989
DRC25,OUT035,1468.306021
FDU59,OUT035,2642.624586
FDU28,OUT035,3093.358634
NCP30,OUT046,780.4301752
FDB39,OUT018,648.6987364
FDE41,OUT013,1488.0432
DRH11,OUT010,-974.2225312
FDA58,OUT045,3672.874782
FDU50,OUT046,1937.140264
FDM34,OUT013,2160.358356
FDM44,OUT027,3105.801059
FDR39,OUT045,2859.610898
FDM25,OUT045,2732.666792
FDQ49,OUT049,2577.391063
DRH25,OUT018,605.209721
FDM09,OUT027,4179.17743
FDL44,OUT019,673.3644591
NCR42,OUT018,294.892224
DRL59,OUT046,963.2309328
FDX43,OUT013,2763.91705
DRK47,OUT010,1675.887399
FDU48,OUT018,1840.666235
FDY12,OUT045,780.2608393
NCN43,OUT018,1698.201897
NCM55,OUT018,2655.486187
FDQ21,OUT027,3435.323559
FDX13,OUT035,4048.595137
NCK30,OUT027,5461.235098
FDG20,OUT049,2872.107413
DRG27,OUT017,765.3612034
FDY14,OUT018,3903.923429
FDP59,OUT035,1741.810039
FDU60,OUT017,2774.236899
NCC18,OUT019,845.3536496
DRJ39,OUT017,3537.255315
FDS07,OUT049,1908.107129
FDM08,OUT027,4981.016655
FDP51,OUT045,1872.801756
FDU16,OUT035,1418.552272
